hhid,num_inds,children_ind,hh_income_ind,age_ind,home_value_ind,state,total_amount_before_campaign,total_amount_during_campaign,total_transactions
24360,2,2+,101 to 150,30-39,noValue,TN,11.08,11.5,7
24366,11,1,101 to 150,50-59,101 to 200,GA,1.08,12.46,7
24379,7,2+,51 to 100,50-59,noValue,AZ,0.0,3.78,2
24382,19,1,0 to 50,noValue,noValue,CA,5.33,4.48,4
24384,12,0,0 to 50,noValue,101 to 200,NC,5.69,3.68,2
24385,7,2+,0 to 50,noValue,noValue,PA,0.0,9.77,6
24386,14,2+,101 to 150,noValue,noValue,CA,12.87,0.0,4
24389,11,2+,51 to 100,30-39,101 to 200,FL,5.14,5.36,5
24390,5,2+,51 to 100,40-49,101 to 200,IN,5.86,4.63,5
24397,6,0,0 to 50,40-49,noValue,WA,6.96,0.0,4
24398,15,2+,noValue,noValue,201 to 500,CA,14.02,5.31,4
24399,9,0,0 to 50,40-49,noValue,NJ,0.0,6.89,3
24400,10,2+,51 to 100,30-39,noValue,MT,6.14,8.01,5
24406,5,2+,51 to 100,noValue,201 to 500,MD,0.99,3.85,3
24412,9,0,0 to 50,noValue,noValue,ID,6.33,2.68,4
24414,4,0,51 to 100,20-29,201 to 500,CA,14.07,10.52,6
24415,22,0,noValue,noValue,noValue,WI,9.16,5.64,4
24417,19,0,101 to 150,20-29,noValue,FL,2.09,5.12,4
24420,16,2+,0 to 50,40-49,noValue,OH,2.67,3.88,2
24422,14,0,0 to 50,65+,noValue,PA,9.88,5.9,5
24423,9,2+,101 to 150,noValue,noValue,MI,3.18,3.91,2
24426,10,1,51 to 100,noValue,noValue,GA,16.39,2.4,3
24442,10,1,51 to 100,40-49,201 to 500,FL,11.9,2.81,5
24456,12,0,0 to 50,60-64,201 to 500,NY,9.71,0.48,3
24462,12,2+,101 to 150,40-49,201 to 500,CT,12.04,11.08,10
24463,10,2+,51 to 100,noValue,0 to 100,PA,8.02,7.02,5
24465,18,2+,51 to 100,40-49,noValue,SC,13.99,3.51,5
24466,8,2+,0 to 50,noValue,noValue,GA,4.67,2.33,5
24468,5,2+,51 to 100,20-29,noValue,CA,0.0,1.55,2
24469,6,2+,101 to 150,noValue,101 to 200,IN,6.68,7.35,4
24472,9,1,noValue,50-59,noValue,VA,9.14,6.61,4
24476,6,0,51 to 100,30-39,noValue,CA,2.45,0.88,2
24482,12,2+,51 to 100,40-49,101 to 200,GA,7.11,16.05,8
24485,10,2+,0 to 50,65+,noValue,MS,5.73,3.67,3
24493,16,1,51 to 100,noValue,noValue,CA,2.03,7.38,3
24495,8,2+,51 to 100,40-49,noValue,NY,2.78,0.02,3
24498,2,0,noValue,noValue,noValue,WV,15.3,3.11,5
24499,10,0,0 to 50,40-49,noValue,WA,8.24,1.84,6
24509,21,2+,101 to 150,noValue,noValue,CA,3.63,3.5,4
24510,9,2+,51 to 100,50-59,101 to 200,MI,0.0,5.83,2
24511,20,2+,51 to 100,50-59,201 to 500,NH,5.73,6.98,6
24514,11,0,51 to 100,30-39,noValue,NJ,5.24,2.49,3
24520,23,2+,51 to 100,noValue,201 to 500,FL,5.51,9.12,3
24522,15,2+,51 to 100,noValue,noValue,NJ,6.45,12.36,5
24529,14,2+,51 to 100,40-49,101 to 200,MI,2.1,0.0,3
24534,14,0,0 to 50,40-49,noValue,LA,17.33,5.52,8
24544,16,2+,51 to 100,noValue,101 to 200,MI,0.0,7.58,3
24548,10,1,0 to 50,noValue,101 to 200,FL,9.48,1.42,3
24549,19,0,51 to 100,50-59,noValue,FL,2.96,4.47,2
24564,20,0,0 to 50,50-59,noValue,NJ,6.3,2.63,4
24569,12,2+,0 to 50,50-59,noValue,PA,23.2,3.6,9
24572,9,2+,noValue,noValue,201 to 500,ME,9.93,5.44,5
24573,22,0,51 to 100,65+,501+,CA,15.44,3.72,5
24578,9,1,51 to 100,noValue,noValue,CA,2.13,8.15,5
24580,18,0,51 to 100,noValue,noValue,FL,3.51,3.88,3
24581,15,2+,101 to 150,40-49,501+,NY,8.39,2.81,3
24583,12,0,51 to 100,40-49,noValue,NY,12.78,0.0,4
24586,9,2+,51 to 100,50-59,101 to 200,TN,7.86,4.26,7
24588,20,1,51 to 100,50-59,noValue,VA,7.23,1.99,4
24590,5,2+,51 to 100,40-49,noValue,MS,4.76,2.95,3
24598,11,0,0 to 50,20-29,201 to 500,CA,0.0,4.01,2
24600,11,0,51 to 100,noValue,201 to 500,CA,13.2,1.88,5
24601,11,2+,0 to 50,40-49,101 to 200,NY,14.01,3.44,3
24605,17,2+,151+,noValue,201 to 500,FL,2.51,4.0,3
24611,7,2+,51 to 100,20-29,noValue,LA,23.96,8.06,8
24615,10,2+,noValue,30-39,0 to 100,NY,12.11,2.23,5
24621,10,2+,151+,40-49,noValue,GA,0.53,7.59,2
24627,5,2+,51 to 100,noValue,noValue,LA,2.37,1.73,2
24628,5,1,0 to 50,noValue,noValue,NY,13.28,2.16,5
24631,6,0,51 to 100,noValue,noValue,CA,1.23,10.97,4
24636,6,0,0 to 50,20-29,0 to 100,NY,4.44,5.8,5
24641,17,2+,151+,noValue,noValue,NJ,13.22,0.13,4
24651,15,1,0 to 50,20-29,noValue,IL,10.04,0.37,6
24654,14,1,51 to 100,20-29,201 to 500,UT,11.1,3.46,3
24657,7,0,51 to 100,60-64,noValue,RI,5.79,0.4,3
24659,18,2+,101 to 150,50-59,101 to 200,MI,6.99,2.84,7
24662,14,2+,51 to 100,noValue,noValue,CA,1.37,1.09,2
24669,8,0,0 to 50,60-64,noValue,MI,4.22,0.1,3
24671,12,2+,51 to 100,40-49,0 to 100,IN,7.45,5.43,3
24678,7,0,51 to 100,40-49,101 to 200,FL,15.26,15.56,8
24682,26,1,51 to 100,50-59,201 to 500,MD,0.63,6.17,3
24685,18,1,0 to 50,noValue,201 to 500,NJ,1.35,1.84,3
24689,8,0,101 to 150,40-49,201 to 500,MA,3.09,7.79,4
24697,24,2+,0 to 50,20-29,0 to 100,PA,11.64,0.0,4
24702,15,2+,0 to 50,50-59,noValue,NH,2.58,0.0,4
24703,20,2+,noValue,40-49,noValue,GA,0.0,1.41,3
24708,6,2+,0 to 50,noValue,noValue,MS,10.39,0.74,4
24714,7,0,51 to 100,65+,noValue,PA,5.3,5.22,3
24722,3,2+,0 to 50,65+,noValue,SC,21.0,6.37,5
24725,18,1,noValue,noValue,noValue,AZ,3.18,2.58,2
24727,12,0,51 to 100,noValue,noValue,MI,0.0,2.18,2
24729,6,0,101 to 150,noValue,noValue,PA,12.71,11.84,6
24733,7,0,0 to 50,noValue,noValue,FL,1.51,0.0,3
24734,11,2+,101 to 150,20-29,noValue,FL,11.6,0.52,4
24735,9,2+,noValue,50-59,noValue,MI,16.31,7.26,7
24747,13,2+,51 to 100,20-29,noValue,OH,9.18,6.01,7
24749,23,2+,51 to 100,30-39,201 to 500,FL,16.5,1.49,5
24752,12,0,51 to 100,50-59,noValue,MI,5.55,1.59,3
24753,7,2+,51 to 100,40-49,noValue,SC,3.31,8.47,5
24755,10,2+,51 to 100,40-49,101 to 200,LA,7.42,5.14,6
24758,12,0,51 to 100,60-64,101 to 200,ME,4.55,4.52,2
24762,12,2+,51 to 100,noValue,noValue,GA,5.29,6.09,4
24768,12,0,0 to 50,65+,201 to 500,CA,0.93,4.26,5
24774,8,2+,51 to 100,noValue,noValue,AL,5.69,4.48,5
24783,13,1,0 to 50,20-29,0 to 100,NY,19.89,6.2,5
24785,21,0,51 to 100,65+,noValue,FL,3.53,3.72,2
24786,6,2+,0 to 50,40-49,101 to 200,PA,1.1,3.63,2
24787,6,2+,101 to 150,40-49,noValue,TX,10.78,1.93,4
24795,4,1,51 to 100,20-29,101 to 200,NC,9.64,6.89,5
24803,15,1,51 to 100,noValue,101 to 200,NY,1.75,1.45,5
24806,5,2+,151+,noValue,101 to 200,NC,1.11,9.46,3
24807,8,2+,51 to 100,40-49,noValue,GA,16.29,1.12,10
24813,10,2+,0 to 50,30-39,0 to 100,AL,2.46,3.15,4
24820,9,1,51 to 100,30-39,101 to 200,PA,6.84,0.87,2
24823,12,2+,51 to 100,30-39,noValue,LA,6.57,2.45,3
24825,11,2+,151+,noValue,noValue,NJ,4.91,8.47,6
24828,18,0,101 to 150,40-49,noValue,MI,6.54,8.55,5
24832,8,1,0 to 50,40-49,noValue,PA,0.92,2.92,2
24834,6,0,noValue,60-64,noValue,NY,6.61,8.37,4
24839,6,2+,51 to 100,40-49,0 to 100,PA,0.91,0.0,2
24842,15,2+,51 to 100,noValue,501+,NY,3.17,10.6,6
24845,15,0,0 to 50,noValue,noValue,CA,1.35,15.13,5
24849,10,2+,51 to 100,60-64,101 to 200,MA,17.95,11.53,11
24854,16,0,0 to 50,50-59,noValue,NJ,11.07,3.39,4
24855,14,0,51 to 100,60-64,201 to 500,NJ,0.18,4.39,2
24857,8,0,noValue,20-29,101 to 200,IN,12.59,4.2,4
24858,11,0,51 to 100,50-59,noValue,CT,7.55,3.28,5
24864,8,2+,51 to 100,noValue,noValue,NY,0.0,2.18,3
24867,12,2+,0 to 50,65+,noValue,SC,17.82,4.79,6
24868,10,0,noValue,50-59,noValue,CA,4.39,0.6,2
24869,7,2+,noValue,65+,0 to 100,MI,3.61,9.03,3
24871,7,0,0 to 50,50-59,0 to 100,FL,17.7,1.58,9
24877,13,2+,101 to 150,40-49,noValue,NY,8.97,10.05,4
24880,24,2+,151+,40-49,noValue,FL,8.5,0.0,3
24890,15,0,0 to 50,50-59,noValue,CT,11.02,7.68,5
24892,23,2+,51 to 100,50-59,noValue,FL,12.44,9.23,6
24895,12,0,51 to 100,noValue,201 to 500,FL,9.24,2.09,4
24896,11,2+,51 to 100,noValue,noValue,NY,10.33,3.92,6
24897,7,2+,0 to 50,30-39,noValue,NC,6.05,2.53,2
24902,6,0,51 to 100,30-39,noValue,AL,3.57,11.25,5
24903,11,1,101 to 150,40-49,201 to 500,MA,4.21,5.52,3
24910,8,2+,51 to 100,40-49,noValue,NY,4.45,7.12,4
24916,10,2+,0 to 50,40-49,noValue,WA,11.33,1.26,6
24922,9,0,noValue,65+,noValue,PA,4.55,5.59,2
24923,28,2+,0 to 50,40-49,201 to 500,FL,2.8,9.25,5
24928,12,2+,51 to 100,40-49,noValue,WV,6.91,16.08,6
24929,8,1,0 to 50,65+,noValue,SC,6.13,2.45,5
24930,5,0,51 to 100,noValue,noValue,SC,19.98,3.88,7
24936,5,0,51 to 100,60-64,noValue,NY,17.32,5.17,7
24940,9,0,0 to 50,noValue,noValue,MI,3.77,5.26,2
24941,23,2+,0 to 50,65+,noValue,NY,3.03,1.02,2
24954,15,0,0 to 50,50-59,noValue,FL,2.38,0.0,4
24956,12,2+,0 to 50,noValue,noValue,VA,8.91,1.31,5
24960,5,2+,51 to 100,40-49,noValue,IN,7.7,7.23,4
24961,11,1,0 to 50,20-29,noValue,MA,3.25,3.19,3
24963,17,0,0 to 50,50-59,noValue,OH,5.68,4.04,3
24966,22,2+,0 to 50,noValue,noValue,FL,9.61,1.85,5
24972,7,0,0 to 50,noValue,101 to 200,NJ,13.89,3.52,6
24975,11,2+,51 to 100,30-39,noValue,PA,14.63,4.34,5
24976,29,2+,51 to 100,30-39,201 to 500,MD,2.6,3.12,2
24979,9,0,noValue,50-59,noValue,NM,3.43,0.0,3
24980,7,2+,0 to 50,noValue,noValue,PA,4.37,0.91,2
24982,20,2+,noValue,noValue,101 to 200,IL,15.5,0.0,5
24988,5,2+,0 to 50,noValue,noValue,DE,13.56,1.13,6
24989,7,2+,0 to 50,40-49,101 to 200,VA,4.6,0.22,3
24994,13,0,51 to 100,noValue,101 to 200,FL,5.43,4.05,4
24996,9,1,0 to 50,noValue,101 to 200,GA,16.25,4.62,12
24997,15,2+,0 to 50,noValue,noValue,KY,12.58,7.21,5
24999,8,2+,51 to 100,noValue,101 to 200,WA,5.45,3.41,2
25000,17,2+,51 to 100,noValue,noValue,CA,19.49,11.05,9
25003,11,2+,0 to 50,30-39,noValue,PA,7.27,8.02,3
25007,11,2+,0 to 50,40-49,101 to 200,NY,12.61,1.78,4
25009,17,0,0 to 50,60-64,noValue,NY,5.98,3.16,5
25010,14,0,51 to 100,50-59,noValue,CA,5.05,0.0,3
25012,11,1,51 to 100,50-59,noValue,TN,0.0,4.03,3
25014,7,0,0 to 50,noValue,noValue,FL,10.92,5.45,5
25019,17,0,0 to 50,20-29,101 to 200,NJ,6.58,6.58,6
25025,27,0,51 to 100,20-29,101 to 200,MS,2.08,5.6,5
25026,12,1,51 to 100,noValue,201 to 500,CA,7.76,3.96,3
25027,9,2+,noValue,30-39,noValue,VA,1.33,0.5,3
25028,19,0,101 to 150,noValue,noValue,TN,10.28,7.43,4
25038,9,0,0 to 50,30-39,noValue,MI,0.0,1.75,2
25039,9,2+,51 to 100,40-49,101 to 200,MI,8.32,6.38,3
25040,8,1,0 to 50,30-39,noValue,CA,2.25,0.0,2
25051,19,2+,0 to 50,30-39,201 to 500,CA,7.97,2.36,3
25055,3,2+,0 to 50,noValue,noValue,FL,3.79,1.1,3
25056,23,2+,51 to 100,noValue,noValue,TX,9.26,3.09,5
25064,20,0,noValue,30-39,noValue,NY,11.42,5.09,5
25071,18,2+,0 to 50,60-64,noValue,GA,2.12,5.07,2
25072,13,2+,51 to 100,40-49,noValue,MD,0.59,2.47,3
25073,8,0,0 to 50,40-49,101 to 200,NC,8.42,8.66,4
25074,14,1,51 to 100,50-59,noValue,WA,6.93,1.48,5
25075,9,0,0 to 50,20-29,noValue,SC,12.85,5.07,6
25077,16,0,51 to 100,65+,201 to 500,MA,16.28,6.39,4
25081,11,1,0 to 50,30-39,noValue,NH,3.52,5.38,3
25084,29,0,0 to 50,50-59,noValue,GA,0.0,3.84,2
25087,7,1,51 to 100,noValue,noValue,NY,13.36,3.15,7
25092,11,2+,0 to 50,noValue,noValue,NY,0.51,0.0,2
25096,8,1,51 to 100,noValue,noValue,CA,16.71,2.73,5
25107,8,2+,101 to 150,40-49,201 to 500,MD,9.65,6.89,5
25113,13,2+,51 to 100,40-49,noValue,VA,0.19,4.01,3
25116,13,2+,51 to 100,40-49,101 to 200,NC,5.8,3.21,3
25117,10,2+,101 to 150,40-49,noValue,MI,5.37,5.78,2
25126,19,2+,51 to 100,50-59,noValue,NY,3.95,7.76,4
25130,7,0,51 to 100,40-49,201 to 500,CA,6.84,0.0,3
25134,13,0,noValue,noValue,101 to 200,OH,2.64,3.96,2
25138,4,2+,51 to 100,60-64,noValue,LA,26.33,6.89,7
25146,15,2+,51 to 100,40-49,101 to 200,NY,0.29,3.67,2
25149,8,2+,51 to 100,noValue,101 to 200,OH,2.32,9.71,3
25156,6,2+,0 to 50,noValue,101 to 200,VA,3.93,2.42,3
25159,22,1,101 to 150,50-59,noValue,FL,5.7,1.62,5
25160,13,2+,51 to 100,40-49,201 to 500,CA,4.58,6.06,5
25165,17,0,101 to 150,65+,501+,NY,3.58,0.0,2
25173,8,1,0 to 50,30-39,201 to 500,CA,0.0,1.08,2
25177,14,2+,51 to 100,40-49,noValue,FL,2.77,3.6,3
25178,12,2+,0 to 50,noValue,noValue,VA,5.42,7.41,6
25180,19,2+,0 to 50,40-49,0 to 100,OH,10.94,0.0,6
25181,13,1,noValue,50-59,noValue,MI,4.66,6.21,3
25182,16,2+,0 to 50,noValue,noValue,OH,23.01,5.29,8
25183,5,2+,0 to 50,40-49,101 to 200,NJ,4.44,8.43,4
25184,11,0,0 to 50,noValue,noValue,CA,11.68,3.86,6
25186,12,0,51 to 100,60-64,noValue,NY,0.0,9.09,2
25190,17,0,51 to 100,20-29,noValue,NC,1.72,11.49,6
25191,8,1,0 to 50,50-59,101 to 200,VA,3.53,4.53,2
25192,19,0,101 to 150,noValue,noValue,FL,8.91,2.33,4
25199,7,1,0 to 50,20-29,noValue,TN,5.86,2.8,3
25200,6,0,0 to 50,30-39,noValue,NE,7.53,0.0,4
25201,10,0,noValue,50-59,noValue,CA,5.82,3.96,4
25205,10,0,0 to 50,50-59,noValue,CA,6.88,2.69,3
25210,13,0,0 to 50,50-59,noValue,CA,2.94,1.28,4
25214,2,2+,0 to 50,noValue,noValue,CA,13.36,4.14,4
25216,14,0,0 to 50,20-29,0 to 100,PA,2.12,2.2,2
25218,4,2+,51 to 100,noValue,noValue,WI,1.16,6.09,3
25220,24,1,51 to 100,noValue,noValue,MD,0.02,3.37,2
25222,19,0,51 to 100,noValue,201 to 500,NY,2.74,0.0,2
25227,12,2+,51 to 100,65+,noValue,CA,3.51,4.95,2
25228,5,0,noValue,20-29,noValue,NY,0.26,0.0,2
25229,10,1,0 to 50,30-39,noValue,CA,0.0,1.01,2
25232,8,0,0 to 50,50-59,noValue,CA,5.77,2.54,4
25233,7,2+,51 to 100,noValue,noValue,NC,0.0,0.44,3
25235,21,1,101 to 150,65+,noValue,CA,10.79,4.42,4
25236,8,2+,0 to 50,50-59,noValue,NC,6.12,0.61,4
25239,10,2+,101 to 150,50-59,101 to 200,NY,2.59,1.62,2
25245,11,1,51 to 100,30-39,noValue,CT,2.16,5.84,5
25246,8,2+,51 to 100,noValue,noValue,PA,11.62,0.0,4
25247,18,0,51 to 100,noValue,noValue,CA,5.37,6.76,4
25259,18,0,51 to 100,40-49,noValue,CA,11.16,3.46,5
25260,7,0,101 to 150,50-59,noValue,PA,5.78,4.07,5
25264,16,2+,51 to 100,20-29,noValue,NY,3.26,0.85,2
25265,9,2+,51 to 100,30-39,noValue,NC,5.81,2.12,3
25268,8,0,51 to 100,noValue,101 to 200,PA,6.55,5.4,5
25270,10,2+,0 to 50,40-49,noValue,CA,1.16,3.34,3
25274,12,1,0 to 50,50-59,noValue,MS,8.23,4.5,4
25278,12,2+,0 to 50,40-49,noValue,WA,7.99,7.57,5
25279,12,0,101 to 150,50-59,noValue,FL,4.12,6.29,4
25280,9,2+,0 to 50,noValue,101 to 200,NC,2.31,0.34,4
25283,11,0,51 to 100,40-49,101 to 200,FL,10.36,2.82,6
25290,28,1,0 to 50,noValue,noValue,FL,1.59,3.63,2
25294,6,1,0 to 50,noValue,noValue,PA,1.6,1.71,3
25295,8,0,101 to 150,noValue,noValue,OH,0.7,0.0,2
25303,8,1,0 to 50,30-39,0 to 100,AL,3.77,6.66,3
25306,19,2+,51 to 100,noValue,201 to 500,NY,0.0,4.7,3
25307,14,1,noValue,40-49,noValue,NY,6.94,0.0,4
25309,26,0,151+,30-39,noValue,NC,13.21,14.3,7
25313,7,2+,0 to 50,30-39,0 to 100,MI,1.15,4.1,2
25321,3,1,101 to 150,50-59,noValue,VA,0.5,0.12,3
25327,10,2+,0 to 50,40-49,noValue,NC,6.83,8.65,4
25330,13,2+,0 to 50,40-49,noValue,NY,4.93,1.26,3
25333,17,2+,0 to 50,40-49,101 to 200,AL,7.24,5.63,3
25334,10,2+,51 to 100,noValue,noValue,VA,15.74,0.0,5
25336,19,0,noValue,40-49,201 to 500,SC,0.0,5.23,7
25343,9,2+,51 to 100,40-49,noValue,CA,4.0,2.96,3
25350,22,0,51 to 100,65+,201 to 500,CA,7.54,6.49,3
25351,4,0,0 to 50,40-49,noValue,PA,6.5,5.79,3
25355,12,0,0 to 50,60-64,201 to 500,MA,3.59,0.9,4
25358,7,2+,51 to 100,50-59,noValue,MI,0.54,4.69,2
25360,20,0,101 to 150,30-39,noValue,MI,9.28,2.11,4
25367,22,2+,noValue,noValue,noValue,NY,7.77,3.0,6
25368,20,1,51 to 100,40-49,noValue,CA,4.42,0.0,4
25369,9,2+,51 to 100,60-64,noValue,TN,6.18,7.44,4
25372,18,2+,101 to 150,40-49,201 to 500,CT,2.68,8.95,3
25373,15,2+,0 to 50,noValue,noValue,LA,1.93,5.06,5
25382,8,0,0 to 50,noValue,noValue,PA,0.25,1.23,3
25383,18,2+,0 to 50,40-49,noValue,NY,1.46,8.06,2
25387,22,0,noValue,30-39,501+,CA,1.45,2.33,3
25389,17,2+,101 to 150,65+,noValue,NC,2.2,7.17,4
25392,5,2+,0 to 50,noValue,noValue,SC,6.51,6.26,3
25394,17,2+,0 to 50,40-49,noValue,KY,1.94,0.35,3
25400,11,1,0 to 50,noValue,0 to 100,PA,1.02,3.49,4
25406,15,2+,101 to 150,50-59,noValue,RI,16.64,3.99,4
25412,12,1,51 to 100,30-39,201 to 500,MD,6.42,2.59,4
25414,10,1,51 to 100,noValue,noValue,MI,3.37,6.02,2
25420,13,1,0 to 50,50-59,noValue,NH,15.65,4.75,7
25427,7,0,0 to 50,65+,noValue,GA,7.19,1.95,3
25431,3,0,0 to 50,noValue,noValue,SC,2.61,6.97,3
25433,16,1,101 to 150,40-49,noValue,TX,13.56,5.68,4
25434,26,2+,0 to 50,30-39,noValue,CT,4.3,4.51,2
25438,14,1,151+,noValue,noValue,PA,0.0,7.83,2
25440,9,2+,0 to 50,30-39,noValue,SC,2.22,3.04,2
25442,9,0,noValue,noValue,noValue,AZ,22.98,4.22,8
25443,4,2+,51 to 100,40-49,101 to 200,PA,3.9,10.91,2
25444,5,2+,51 to 100,65+,101 to 200,NY,1.95,4.78,5
25447,25,2+,51 to 100,40-49,noValue,AL,3.35,5.96,3
25455,8,2+,51 to 100,40-49,201 to 500,MD,2.62,0.0,2
25465,9,2+,0 to 50,30-39,noValue,OH,0.0,0.0,3
25466,4,0,0 to 50,20-29,101 to 200,NC,5.33,0.01,2
25467,9,2+,151+,noValue,201 to 500,VA,0.0,2.3,4
25470,9,2+,151+,40-49,noValue,NH,8.26,2.05,6
25472,2,1,0 to 50,20-29,noValue,MI,3.48,4.71,4
25476,23,2+,51 to 100,30-39,noValue,WV,2.13,0.0,2
25478,26,2+,0 to 50,65+,noValue,NY,19.66,7.66,5
25483,9,0,0 to 50,50-59,noValue,NH,6.36,2.07,3
25484,10,1,0 to 50,40-49,noValue,FL,0.61,7.52,5
25487,27,0,51 to 100,30-39,noValue,NC,0.8,6.48,2
25488,5,2+,51 to 100,40-49,noValue,AR,8.99,8.42,5
25490,12,2+,0 to 50,30-39,noValue,LA,5.01,0.0,4
25493,6,2+,0 to 50,40-49,noValue,SC,9.35,0.0,3
25497,9,2+,51 to 100,noValue,101 to 200,PA,23.04,0.41,8
25498,10,0,0 to 50,20-29,noValue,NY,5.15,3.52,3
25499,7,0,0 to 50,noValue,noValue,GA,49.1,0.0,13
25520,19,0,151+,20-29,noValue,FL,4.03,5.57,4
25526,10,0,51 to 100,20-29,noValue,CA,5.5,1.39,2
25529,12,1,101 to 150,30-39,201 to 500,AZ,14.42,8.28,6
25531,13,2+,0 to 50,60-64,noValue,SC,5.19,5.32,3
25532,16,0,0 to 50,50-59,101 to 200,FL,2.27,1.5,2
25540,7,2+,noValue,30-39,noValue,FL,2.77,0.65,3
25543,5,2+,noValue,60-64,101 to 200,NY,23.13,1.65,8
25544,19,0,0 to 50,65+,noValue,CT,8.67,0.34,4
25550,14,0,51 to 100,60-64,201 to 500,CA,13.07,5.74,5
25553,13,0,0 to 50,noValue,noValue,PA,0.0,4.32,6
25559,19,2+,0 to 50,40-49,noValue,CA,4.06,1.52,3
25560,14,0,noValue,60-64,501+,CA,13.44,6.1,8
25563,7,2+,0 to 50,30-39,noValue,CA,9.43,11.16,7
25576,10,2+,151+,30-39,noValue,NJ,3.43,2.53,3
25578,4,2+,101 to 150,30-39,noValue,VA,13.48,2.39,3
25581,9,0,51 to 100,65+,noValue,CA,4.47,0.0,2
25585,9,2+,101 to 150,50-59,501+,CA,18.6,3.83,6
25586,8,0,51 to 100,40-49,noValue,CA,6.73,5.0,5
25588,15,0,51 to 100,noValue,noValue,NY,11.35,0.35,4
25591,8,0,0 to 50,50-59,noValue,FL,4.05,6.07,7
25594,12,2+,51 to 100,40-49,noValue,CA,1.27,5.55,2
25603,17,0,101 to 150,60-64,noValue,NY,0.0,3.56,4
25605,5,1,0 to 50,65+,noValue,PA,0.0,2.34,2
25607,11,2+,0 to 50,noValue,noValue,ID,3.92,6.82,2
25625,14,0,noValue,40-49,noValue,CA,1.51,6.6,3
25628,28,0,noValue,50-59,501+,NY,0.61,14.75,6
25637,22,2+,51 to 100,noValue,101 to 200,NY,13.79,1.65,5
25639,12,2+,51 to 100,20-29,noValue,NJ,10.13,4.81,4
25640,18,0,101 to 150,60-64,noValue,CA,4.77,1.05,2
25641,20,2+,151+,noValue,noValue,CA,7.13,6.81,4
25645,11,0,noValue,20-29,noValue,CA,8.65,4.15,4
25646,14,0,51 to 100,50-59,noValue,TN,3.8,2.97,3
25647,18,0,0 to 50,50-59,noValue,NY,18.04,2.08,4
25652,21,2+,151+,noValue,noValue,MI,2.14,1.7,2
25661,17,2+,51 to 100,50-59,201 to 500,NJ,3.44,4.96,2
25663,12,1,51 to 100,noValue,noValue,NC,8.15,4.76,4
25670,19,2+,151+,40-49,201 to 500,FL,0.72,3.64,2
25672,6,2+,51 to 100,noValue,noValue,AL,0.8,1.01,2
25675,8,0,noValue,65+,noValue,TN,9.98,12.17,4
25678,6,1,51 to 100,noValue,101 to 200,LA,0.91,11.06,4
25681,5,2+,51 to 100,30-39,101 to 200,MI,2.94,3.73,3
25686,9,1,0 to 50,30-39,noValue,MI,0.82,0.0,3
25687,11,1,51 to 100,noValue,noValue,NH,7.34,1.81,3
25690,11,0,0 to 50,40-49,noValue,TX,11.9,3.8,4
25691,14,2+,51 to 100,noValue,101 to 200,FL,1.72,2.95,3
25696,6,2+,51 to 100,noValue,noValue,NY,0.69,2.68,2
25702,15,0,51 to 100,noValue,201 to 500,CA,0.0,10.06,4
25705,13,1,51 to 100,noValue,noValue,CA,1.01,2.58,3
25706,8,1,0 to 50,noValue,101 to 200,OH,0.02,0.5,2
25708,9,0,0 to 50,40-49,noValue,MI,9.15,2.34,4
25712,15,0,51 to 100,noValue,201 to 500,MD,1.81,5.73,2
25713,11,1,0 to 50,noValue,101 to 200,NC,4.94,3.98,3
25714,5,2+,0 to 50,30-39,noValue,FL,4.32,7.89,4
25716,5,0,51 to 100,60-64,noValue,SC,4.0,4.96,6
25721,27,0,0 to 50,40-49,noValue,NJ,0.03,5.48,2
25724,10,1,101 to 150,50-59,noValue,CA,11.28,4.26,5
25726,12,0,51 to 100,50-59,201 to 500,PA,2.27,0.45,2
25731,15,2+,51 to 100,50-59,noValue,CA,9.51,3.85,3
25735,17,1,noValue,noValue,noValue,GA,1.43,1.04,4
25736,13,2+,noValue,30-39,noValue,NY,8.95,2.26,3
25743,8,2+,101 to 150,50-59,noValue,GA,13.02,2.05,3
25747,6,2+,51 to 100,noValue,noValue,NJ,5.71,2.5,4
25748,28,2+,51 to 100,noValue,201 to 500,NH,11.4,1.29,5
25751,11,0,51 to 100,50-59,noValue,CA,5.66,1.9,2
25755,7,0,0 to 50,30-39,noValue,CA,8.38,0.0,4
25756,17,2+,51 to 100,50-59,noValue,SC,4.43,1.08,2
25766,7,2+,0 to 50,40-49,201 to 500,NY,9.45,3.74,4
25772,10,0,0 to 50,50-59,noValue,VA,13.8,3.38,5
25776,12,1,151+,50-59,noValue,CA,25.67,5.59,10
25787,26,0,0 to 50,noValue,noValue,TN,4.04,3.53,5
25792,12,2+,51 to 100,60-64,noValue,NC,3.87,5.43,4
25795,14,0,noValue,noValue,noValue,NY,6.02,2.96,4
25800,8,2+,noValue,noValue,noValue,VA,1.42,4.73,4
25807,14,2+,0 to 50,50-59,101 to 200,NY,0.0,4.11,2
25810,7,0,51 to 100,noValue,101 to 200,CO,1.76,1.81,3
25817,19,0,noValue,noValue,201 to 500,CA,18.21,4.96,8
25830,10,1,51 to 100,50-59,101 to 200,NJ,4.66,6.27,4
25832,8,0,0 to 50,noValue,noValue,VA,12.63,3.12,5
25838,7,2+,0 to 50,65+,201 to 500,CA,6.12,5.68,4
25845,6,0,101 to 150,65+,noValue,FL,8.3,2.01,7
